Date,Close,Volume
1675,49.703,181075328.0
1676,49.275,146151296.0
1677,49.003,108260216.0
1678,51.453,239987920.0
1679,53.086,257775696.0
1680,53.047,192670640.0
1681,55.692,223167552.0
1682,55.186,259270096.0
1683,55.536,150453488.0
1684,57.753,162113232.0
1685,57.053,194654832.0
1686,57.948,202150896.0
1687,60.203,190430992.0
1688,60.281,180834256.0
1689,57.286,278951584.0
1690,54.564,236043616.0
1691,52.425,143442192.0
1692,49.819,98228240.0
1693,50.831,176214336.0
1694,49.819,121384688.0
1695,50.325,112478792.0
1696,47.797,61941644.0
1697,45.814,111877112.0
1698,44.53,81650840.0
1699,44.452,46719144.0
1700,44.53,64651232.0
1701,46.747,42914356.0
1702,49.08,103483912.0
1703,48.264,66953868.0
1704,48.225,43853556.0
1705,48.069,59703124.0
1706,48.964,67200016.0
1707,48.886,59691160.0
1708,48.264,55621540.0
1709,46.98,79721608.0
1710,44.647,96573968.0
1711,42.469,59520876.0
1712,42.975,49458532.0
1713,44.063,38219820.0
1714,43.558,37868260.0
1715,44.219,35246564.0
1716,45.23,74091936.0
1717,46.591,101272768.0
1718,47.136,61555608.0
1719,46.669,66484044.0
1720,46.047,50966388.0
1721,43.752,53389944.0
1722,43.558,46120956.0
1723,42.002,43897376.0
1724,40.874,60009408.0
1725,40.874,20844342.0
1726,38.813,60746192.0
1727,36.869,42194708.0
1728,36.48,50292296.0
1729,36.596,68482064.0
1730,38.424,69032768.0
1731,40.33,59361188.0
1732,41.419,88345376.0
1733,42.43,82279664.0
1734,40.291,72679440.0
1735,40.291,0.0
1736,42.313,92108520.0
1737,40.213,82064368.0
1738,38.191,62971176.0
1739,37.491,51153220.0
1740,39.358,43100916.0
1741,39.397,36750856.0
1742,38.735,40949136.0
1743,40.447,30482088.0
1744,41.924,45318252.0
1745,39.824,48461672.0
1746,40.602,38901616.0
1747,41.808,64366652.0
1748,41.808,0.0
1749,37.646,112519248.0
1750,33.874,101834696.0
1751,31.502,70672704.0
1752,34.652,65718560.0
1753,34.652,0.0
1754,38.074,147235408.0
1755,39.163,91354080.0
1756,39.241,65945092.0
1757,40.797,103939440.0
1758,40.991,90269904.0
1759,39.319,78241944.0
1760,38.113,62082924.0
1761,40.097,60375416.0
1762,39.202,57457964.0
1763,39.28,43603164.0
1764,37.569,93258968.0
1765,38.269,60204964.0
1766,38.385,61730172.0
1767,37.802,50739336.0
1768,35.935,49528748.0
1769,33.446,56939052.0
1770,33.796,53734156.0
1771,34.73,52155924.0
